year,label,C_kwh,ancat,type,ref
1859,Pb acid,12.4,Pb/PbO2,Pb acid,1
1899,NiCd,66.0,Cd(OH)2/Ni(OH)2,NiCd,2
1978,NiMH,82.8,LaNi5/Ni(OH)2,NiMH,3
1878,Zn/air,5.8,Zn/O2,Zn2+ based,4
1899,Zn/NiOOH,44.2,Zn/NiOOH,Zn2+ based,1
1959,Zn/MnO2,9.0,Zn/MnO2,Zn2+ based,5
1972,Zn/Br2,8.0,Zn/Br2,Zn2+ based,6
2015,Zn/Fe,9.3,2-/Fe2+ Zn(OH)4,Zn2+ based,7
2016,Zn/Zn0.25V2O5,50.7,Zn/Zn0.25V2O5,Zn2+ based,8
2016,Mg/Ti2S4,358.7,Mg/Ti2S4,Mg2+ based,9
1958,Li/S,13.7,Li/S,Lithium metal,10
1976,Li/TiS2,192.1,Li/TiS2,Lithium metal,11
1979,Li/MoS2,35.7,Li/MoS2,Lithium metal,12
1980,Li/LCO,90.3,Li/LiCoO2,Lithium metal,13
1996,Li/air,45.5,Li/O2,Lithium metal,14
1966,Na/S,1.6,Na/S,High temperature,15
1978,Na/NiCl2,6.6,Na/NiCl2,High temperature,16
2014,Li/Pb2Sb,64.1,Li/Pb2Sb,High temperature,17
1975,ICB,28.3,Cr2+/Fe3+,Redox flow,18
1981,Fe/Fe,15.5,Fe0/Fe3+,Redox flow,19
,,,,,
1981,PSB,7.4,- S22-/Br3,Redox flow,"20,21"
1986,VRFB,124.4,V2+/V5+,Redox flow,"22,23"
2014,Cu/Cu,53.0,Cu0/Cu2+,Redox flow,24
2014,AQDS/Br,57.9,"9,10-Anthraquinone-2,7-disulphonic acid/Br2",Redox flow,25
2017,"Aq-S/air  (Na, H+)",1.7,S22-/O2,Flow-air,This work
2017,"Aq-S/air  (Na, OH-)",4.0,S22-/O2,Flow-air,This work
2017,"Aq-S/air  (Li, H+)",4.6,S22-/O2,Flow-air,This work
2017,"Aq-S/air (Li, OH-)",13.2,S22-/O2,Flow-air,This work
1984,C6/LMO,45.6,C6/LiMn2O4,Li ion  (C6 anode),26
1991,C6/LCO,98.3,C6/LiCoO2,Li ion  (C6 anode),27
1997,C6/LFP,44.0,C6/LiFePO4,Li ion  (C6 anode),28
1997,C6/LMNO,51.3,C6/LiMn1.5Ni0.5O4,Li ion  (C6 anode),29
1998,LTO/LMO,90.1,Li4Ti5O12/ LiMn2O4,Li ion  (C6 anode),30
2001,C6/NCM111,51.3,C6/LiNi0.33Co0.33- Mn0.33O2,Li ion  (C6 anode),31
2002,C6/LMP,36.3,C6/LiMnPO4,Li ion  (C6 anode),32
2002,C6/NCA,68.3,C6/LiNi0.8Co0.15-Al0.05O2,Li ion  (C6 anode),33
2005,C6/LRMO LMNO,35.6,C6/0.3Li2MnO3 0.7LiMn0.5-Ni0.5O2,Li ion  (C6 anode),34
2016,C6/NCM622,47.1,C6/LiNi0.6Co0.2-Mn0.2O2,Li ion  (C6 anode),35
2009,Si/LCO,97.2,Si/LiCoO2,Li ion  (Si anode),36
2010,Si/Li2S,12.5,Si/Li2S,Li ion  (Si anode),37
2001,Na/P2-NMO,38.9,Na/Na0.67Mn0.67-Ni0.33O2,Na ion (nonaqueous),38
2012,PPy-AC/Cu-PBA,835.9,Polypyrrole-active carbon/ K0.71Cu-[Fe(CN)6]0.72 3.6H2O,Na ion (aqueous),39
2013,NTP/NMO,212.4,NaTi2(PO4)3/ Na0.44MnO2,Na ion (aqueous),40
,,,,,
